date,year,month,day,day_of_year,station_id,station_name,basin,country,latitude,longitude,rainfall_mm,river_level_m,soil_moisture_percent,temperature_c,monsoon_season,flood_risk_score,flood_event_occurred,severity_level
2000-01-08,2000,1,8,8,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,5.4,4.53,32.1,21.1,0,0.0537,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,5.2,3.48,36.1,27.0,0,0.0495,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,7.0,5.96,43.8,23.3,0,0.0777,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,18.5,4.57,67.8,25.3,0,0.1,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,11.5,6.1,64.8,26.1,0,0.088,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,6.7,6.16,47.2,23.1,0,0.078,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,8.9,4.47,47.3,23.6,0,0.0772,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,10.4,4.88,44.7,26.8,0,0.0641,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,6.1,3.02,48.0,22.2,0,0.0593,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,8.1,4.7,42.9,23.9,0,0.0684,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,30.5,4.37,62.7,23.0,0,0.1244,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,34.9,7.28,59.6,25.0,0,0.1458,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,7.6,6.86,72.8,24.6,0,0.0988,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,6.2,10.66,41.2,21.8,0,0.069,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,8.3,9.25,46.8,26.3,0,0.0807,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,4.0,4.3,36.0,23.3,0,0.0525,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,8.2,4.33,34.9,27.4,0,0.062,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,10.6,4.88,48.6,23.7,0,0.07,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,18.0,5.79,57.1,25.3,0,0.1139,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,13.3,6.33,51.4,25.2,0,0.0805,0,Normal (Green)
2000-01-15,2000,1,15,15,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,14.1,5.4,58.0,22.1,0,0.0845,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,18.0,3.86,49.4,22.4,0,0.0769,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,11.2,5.98,44.6,26.5,0,0.079,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,9.4,4.06,46.8,29.8,0,0.0814,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,8.8,5.02,46.5,24.5,0,0.0769,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,7.8,3.32,45.9,24.4,0,0.0597,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,10.5,5.41,49.7,23.9,0,0.0708,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,15.4,6.51,60.2,22.2,0,0.0903,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,6.1,10.31,61.3,26.3,0,0.0832,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,8.9,9.67,30.4,23.7,0,0.0713,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,3.6,4.6,28.5,26.1,0,0.0511,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,4.4,3.79,44.5,23.9,0,0.0579,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,7.1,6.05,50.1,26.4,0,0.0848,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,11.9,4.34,67.3,23.1,0,0.0872,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,6.2,5.09,51.4,26.8,0,0.0603,0,Normal (Green)
2000-01-22,2000,1,22,22,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,10.6,5.58,53.7,22.1,0,0.0795,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,9.1,4.41,46.4,23.4,0,0.0755,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,9.2,6.22,44.1,25.2,0,0.08,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,8.3,2.97,47.4,24.2,0,0.0598,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,6.9,4.85,57.9,21.3,0,0.0821,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,15.6,4.75,52.7,23.4,0,0.1019,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,8.4,6.52,47.7,23.2,0,0.0815,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,13.3,7.67,65.7,24.8,0,0.1108,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,5.8,10.77,34.5,21.7,0,0.0644,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,6.3,9.37,40.4,25.1,0,0.0743,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,5.7,4.07,32.3,25.0,0,0.0491,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,5.4,4.87,37.4,23.1,0,0.0696,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,16.5,5.44,42.8,22.1,0,0.0787,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,15.8,5.43,52.8,24.2,0,0.0982,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,9.0,7.2,47.7,23.5,0,0.0839,0,Normal (Green)
2000-01-29,2000,1,29,29,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,13.2,5.99,52.9,24.3,0,0.0876,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,20.6,3.92,40.1,21.5,0,0.0727,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,27.1,7.24,50.0,26.0,0,0.1278,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,19.3,4.0,50.6,23.2,0,0.0947,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,16.1,4.08,42.2,23.6,0,0.066,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,12.1,4.26,53.6,26.1,0,0.0872,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,24.1,7.28,57.2,23.2,0,0.1248,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,26.3,8.55,80.5,23.9,0,0.171,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,16.6,11.15,53.6,23.2,0,0.0949,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,12.3,9.81,42.1,24.4,0,0.0863,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,7.7,4.3,23.0,22.3,0,0.0476,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,8.3,5.1,26.7,23.3,0,0.0676,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,21.6,5.09,41.8,26.1,0,0.0779,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,70.0,6.06,80.2,23.0,0,0.272,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,21.7,6.63,55.8,25.3,0,0.0986,0,Normal (Green)
2000-02-05,2000,2,5,36,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,17.7,5.02,59.2,23.9,0,0.0838,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,122.7,8.31,67.4,21.2,0,0.5836,0,Warning (Yellow)
2000-02-12,2000,2,12,43,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,27.2,6.47,59.7,22.2,0,0.1241,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,13.4,3.23,45.9,26.6,0,0.0676,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,16.5,5.56,59.2,26.3,0,0.1091,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,16.9,3.65,61.2,25.1,0,0.0866,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,14.2,4.99,61.1,20.6,0,0.0784,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,23.6,8.25,63.3,20.1,0,0.1333,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,15.7,11.06,36.9,22.9,0,0.0774,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,22.1,9.04,51.0,20.7,0,0.0982,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,5.9,4.12,33.9,21.7,0,0.0507,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,11.6,5.08,47.0,22.3,0,0.0879,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,13.3,4.52,45.3,22.2,0,0.0652,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,16.9,4.3,47.4,23.4,0,0.074,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,20.1,7.28,51.1,23.8,0,0.1015,0,Normal (Green)
2000-02-12,2000,2,12,43,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,30.9,5.6,66.7,22.5,0,0.1187,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,12.4,3.85,46.1,20.1,0,0.0688,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,17.0,5.75,58.5,22.4,0,0.0951,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,25.1,3.55,55.7,19.8,0,0.0955,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,12.8,4.6,41.8,22.1,0,0.0703,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,25.0,4.58,59.9,24.8,0,0.1187,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,13.2,6.07,64.2,24.0,0,0.0962,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,16.6,6.39,71.1,21.3,0,0.1013,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,15.1,12.38,38.7,23.8,0,0.0892,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,10.5,7.54,40.2,22.3,0,0.0627,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,6.8,5.56,32.6,21.9,0,0.068,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,19.4,4.08,39.9,22.7,0,0.0716,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,23.8,5.37,54.2,21.9,0,0.0967,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,47.7,5.7,60.6,24.5,0,0.1659,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,18.7,6.78,52.6,23.0,0,0.0938,0,Normal (Green)
2000-02-19,2000,2,19,50,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,18.0,6.12,56.8,21.6,0,0.0994,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,10.3,3.98,43.6,24.7,0,0.0671,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,23.8,6.31,36.7,22.7,0,0.0904,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,21.4,4.42,46.9,23.6,0,0.1045,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,9.8,5.12,52.5,24.1,0,0.085,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,23.4,3.95,50.2,23.3,0,0.0899,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,24.4,6.55,61.9,22.7,0,0.1168,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,32.2,7.56,58.3,20.0,0,0.1273,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,21.2,11.04,51.0,22.6,0,0.0968,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,16.0,9.91,38.3,23.3,0,0.0878,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,16.8,4.56,36.1,25.0,0,0.0657,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,18.3,5.14,35.4,21.5,0,0.0855,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,22.6,4.88,60.6,24.0,0,0.0932,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,23.1,5.75,57.9,22.2,0,0.1213,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,13.6,5.88,62.0,24.9,0,0.0847,0,Normal (Green)
2000-02-26,2000,2,26,57,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,26.3,6.4,53.3,21.5,0,0.1115,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,40.7,5.35,47.6,20.7,0,0.141,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,35.6,6.63,55.1,24.5,0,0.1347,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,36.8,4.5,51.5,24.4,0,0.1355,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,19.0,5.17,38.6,27.1,0,0.083,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,44.2,5.65,49.9,24.1,0,0.1729,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,89.6,10.34,70.2,25.4,0,0.4235,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,39.0,6.97,73.9,23.0,0,0.1493,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,25.2,10.96,54.9,23.6,0,0.1053,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,22.7,9.82,35.8,23.0,0,0.092,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,11.1,4.41,20.9,23.6,0,0.0497,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,31.9,5.34,38.4,21.7,0,0.1097,0,Normal (Green)
2000-03-04,2000,3,4,64,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,46.0,6.75,50.8,24.2,0,0.1569,0,Normal (Green)
